date,game_id,player_team,home_team,away_team,pts,reb,ast,min,fg_pct,player_name
2023-10-24,0022300062,PHX,GSW,PHX,4,7,2,19.233333333333334,0.3333333333333333,Drew Eubanks
2023-10-24,0022300062,PHX,GSW,PHX,8,4,0,17.883333333333333,0.6,Yuta Watanabe
2023-10-24,0022300062,PHX,GSW,PHX,2,4,3,14.183333333333334,0.25,Jordan Goodwin
2023-10-24,0022300062,PHX,GSW,PHX,3,1,0,2.8833333333333333,1.0,Nassir Little
2023-10-24,0022300062,PHX,GSW,PHX,0,0,0,0.0,0.0,Udoka Azubuike
2023-10-24,0022300062,PHX,GSW,PHX,0,0,0,0.0,0.0,Bol Bol
2023-10-24,0022300062,PHX,GSW,PHX,0,0,0,0.0,0.0,Saben Lee
2023-10-24,0022300062,PHX,GSW,PHX,0,0,0,0.0,0.0,Chimezie Metu
2023-10-25,0022300071,MEM,MEM,NOP,9,4,0,29.266666666666666,0.5714285714285714,Ziaire Williams
2023-10-24,0022300061,LAL,DEN,LAL,11,4,7,36.18333333333333,0.3333333333333333,D'Angelo Russell
2023-10-24,0022300062,GSW,GSW,PHX,15,7,3,36.266666666666666,0.3333333333333333,Klay Thompson
2023-10-24,0022300062,PHX,GSW,PHX,0,0,0,0.0,0.0,Keita Bates-Diop
2023-10-25,0022300071,MEM,MEM,NOP,8,5,3,35.71666666666667,0.2222222222222222,Jaren Jackson Jr.
2023-10-25,0022300071,MEM,MEM,NOP,17,12,4,33.7,0.4375,Xavier Tillman
2023-10-25,0022300071,MEM,MEM,NOP,31,5,5,36.13333333333333,0.5,Desmond Bane
2023-10-25,0022300071,MEM,MEM,NOP,17,0,3,32.1,0.5454545454545454,Marcus Smart
2023-10-25,0022300071,MEM,MEM,NOP,9,5,2,27.883333333333333,0.5714285714285714,David Roddy
2023-10-25,0022300071,MEM,MEM,NOP,3,2,2,14.666666666666666,0.0,Luke Kennard
2023-10-25,0022300071,MEM,MEM,NOP,2,2,1,14.633333333333333,0.3333333333333333,Jake LaRavia
2023-10-25,0022300071,MEM,MEM,NOP,8,2,3,15.9,0.2727272727272727,Derrick Rose
2023-10-25,0022300071,MEM,MEM,NOP,0,0,0,0.0,0.0,GG Jackson
2023-10-25,0022300071,MEM,MEM,NOP,0,0,0,0.0,0.0,John Konchar
2023-10-25,0022300071,MEM,MEM,NOP,0,0,0,0.0,0.0,Kenneth Lofton Jr.
2023-10-25,0022300071,MEM,MEM,NOP,0,0,0,0.0,0.0,Ja Morant
2023-10-25,0022300071,MEM,MEM,NOP,0,0,0,0.0,0.0,Vince Williams Jr.
2023-10-25,0022300071,NOP,MEM,NOP,19,7,6,35.93333333333333,0.3888888888888889,Brandon Ingram
2023-10-25,0022300071,NOP,MEM,NOP,23,7,3,31.716666666666665,0.5294117647058824,Zion Williamson
2023-10-25,0022300071,NOP,MEM,NOP,12,12,1,29.2,0.5714285714285714,Jonas Valančiūnas
2023-10-25,0022300071,NOP,MEM,NOP,13,8,3,38.1,0.5,Herbert Jones
2023-10-25,0022300071,NOP,MEM,NOP,24,4,6,37.333333333333336,0.5,CJ McCollum
2023-10-25,0022300071,NOP,MEM,NOP,6,5,0,18.883333333333333,0.5,Dyson Daniels
2023-10-25,0022300071,NOP,MEM,NOP,0,0,0,10.816666666666666,0.0,Kira Lewis Jr.
2023-10-25,0022300071,NOP,MEM,NOP,2,8,0,14.933333333333334,0.5,Larry Nance Jr.
2023-10-25,0022300071,NOP,MEM,NOP,3,0,2,9.233333333333333,0.5,Jordan Hawkins
2023-10-25,0022300071,NOP,MEM,NOP,9,1,1,13.866666666666667,0.5,Matt Ryan
2023-10-25,0022300071,NOP,MEM,NOP,0,0,0,0.0,0.0,Kaiser Gates
2023-10-25,0022300071,NOP,MEM,NOP,0,0,0,0.0,0.0,E.J. Liddell
2023-10-25,0022300071,NOP,MEM,NOP,0,0,0,0.0,0.0,Cody Zeller
2023-10-25,0022300070,CHI,CHI,OKC,20,5,2,32.88333333333333,0.45,DeMar DeRozan
2023-10-25,0022300070,CHI,CHI,OKC,8,3,4,30.033333333333335,0.4,Patrick Williams
2023-10-25,0022300070,CHI,CHI,OKC,11,9,4,31.95,0.625,Nikola Vučević
2023-10-25,0022300070,CHI,CHI,OKC,16,4,3,24.716666666666665,0.25,Zach LaVine
2023-10-25,0022300070,CHI,CHI,OKC,15,4,4,30.583333333333332,0.2857142857142857,Coby White
2023-10-25,0022300070,CHI,CHI,OKC,3,1,2,15.933333333333334,0.25,Jevon Carter
2023-10-25,0022300070,CHI,CHI,OKC,6,2,3,19.616666666666667,0.4,Alex Caruso
2023-10-25,0022300070,CHI,CHI,OKC,11,7,1,21.683333333333334,0.6666666666666666,Torrey Craig
2023-10-25,0022300070,CHI,CHI,OKC,6,5,1,15.966666666666667,0.75,Andre Drummond
2023-10-25,0022300070,CHI,CHI,OKC,8,0,1,9.3,0.6,Ayo Dosunmu
2023-10-25,0022300070,CHI,CHI,OKC,0,0,0,3.6666666666666665,0.0,Julian Phillips
2023-10-25,0022300070,CHI,CHI,OKC,0,2,1,3.6666666666666665,0.0,Dalen Terry
2023-10-25,0022300070,CHI,CHI,OKC,0,0,0,0.0,0.0,Terry Taylor
2023-10-25,0022300070,OKC,CHI,OKC,8,7,2,32.6,0.375,Luguentz Dort
2023-10-25,0022300070,OKC,CHI,OKC,16,3,5,31.8,0.45454545454545453,Jalen Williams
2023-10-25,0022300070,OKC,CHI,OKC,11,4,3,25.116666666666667,0.5714285714285714,Chet Holmgren
2023-10-25,0022300070,OKC,CHI,OKC,16,6,6,31.783333333333335,0.5,Josh Giddey
2023-10-25,0022300070,OKC,CHI,OKC,31,5,10,36.016666666666666,0.6666666666666666,Shai Gilgeous-Alexander
2023-10-25,0022300070,OKC,CHI,OKC,9,2,0,14.25,0.6,Ousmane Dieng
2023-10-25,0022300070,OKC,CHI,OKC,2,3,0,10.8,0.3333333333333333,Aaron Wiggins
2023-10-25,0022300070,OKC,CHI,OKC,14,5,2,21.6,0.5,Isaiah Joe
